trending_date,category,count
2017-12-21,Pets & Animals,1
2017-12-21,Science & Technology,2
2017-12-21,Sports,13
2017-12-21,Travel & Events,1
2017-12-22,Autos & Vehicles,4
2017-12-22,Comedy,37
2017-12-22,Education,6
2017-12-22,Entertainment,40
2017-12-22,Film & Animation,10
2017-12-22,Gaming,11
2017-12-22,Howto & Style,9
2017-12-22,Music,18
2017-12-22,News & Politics,19
2017-12-22,People & Blogs,27
2017-12-22,Pets & Animals,1
2017-12-22,Shows,1
2017-12-22,Sports,14
2017-12-22,Travel & Events,1
2017-12-23,Autos & Vehicles,4
2017-12-23,Comedy,33
2017-12-23,Education,3
2017-12-23,Entertainment,37
2017-12-23,Film & Animation,9
2017-12-23,Gaming,8
2017-12-23,Howto & Style,18
2017-12-23,Music,28
2017-12-23,News & Politics,15
2017-12-23,People & Blogs,23
2017-12-23,Pets & Animals,1
2017-12-23,Science & Technology,3
2017-12-23,Shows,1
2017-12-23,Sports,17
2017-12-24,Autos & Vehicles,1
2017-12-24,Comedy,25
2017-12-24,Education,3
2017-12-24,Entertainment,52
2017-12-24,Film & Animation,7
2017-12-24,Gaming,5
2017-12-24,Howto & Style,8
2017-12-24,Music,21
2017-12-24,News & Politics,13
2017-12-24,People & Blogs,34
2017-12-24,Science & Technology,2
2017-12-24,Sports,29
2017-12-25,Comedy,27
2017-12-25,Education,3
2017-12-25,Entertainment,51
2017-12-25,Film & Animation,7
2017-12-25,Gaming,8
2017-12-25,Howto & Style,12
2017-12-25,Music,25
2017-12-25,News & Politics,8
2017-12-25,People & Blogs,24
2017-12-25,Science & Technology,1
2017-12-25,Shows,1
2017-12-25,Sports,32
2017-12-26,Autos & Vehicles,2
2017-12-26,Comedy,21
2017-12-26,Education,6
2017-12-26,Entertainment,51
2017-12-26,Film & Animation,15
2017-12-26,Gaming,6
2017-12-26,Howto & Style,11
2017-12-26,Music,17
2017-12-26,News & Politics,17
2017-12-26,People & Blogs,27
2017-12-26,Science & Technology,1
2017-12-26,Shows,1
2017-12-26,Sports,22
2017-12-27,Autos & Vehicles,2
2017-12-27,Comedy,13
2017-12-27,Education,5
2017-12-27,Entertainment,58
2017-12-27,Film & Animation,13
2017-12-27,Gaming,8
2017-12-27,Howto & Style,9
2017-12-27,Music,17
2017-12-27,News & Politics,12
2017-12-27,People & Blogs,28
2017-12-27,Pets & Animals,1
2017-12-27,Science & Technology,5
2017-12-27,Sports,26
2017-12-27,Travel & Events,1
2017-12-28,Autos & Vehicles,5
2017-12-28,Comedy,22
2017-12-28,Education,3
2017-12-28,Entertainment,49
2017-12-28,Film & Animation,11
2017-12-28,Gaming,8
2017-12-28,Howto & Style,13
2017-12-28,Music,13
2017-12-28,News & Politics,15
2017-12-28,People & Blogs,33
2017-12-28,Pets & Animals,1
2017-12-28,Science & Technology,5
2017-12-28,Shows,1
2017-12-28,Sports,18
2017-12-28,Travel & Events,1
2017-12-29,Autos & Vehicles,3
2017-12-29,Comedy,22
2017-12-29,Education,2
2017-12-29,Entertainment,52
2017-12-29,Film & Animation,10
2017-12-29,Gaming,13
2017-12-29,Howto & Style,12
2017-12-29,Music,15
2017-12-29,News & Politics,11
2017-12-29,People & Blogs,34
2017-12-29,Pets & Animals,1
2017-12-29,Science & Technology,6
2017-12-29,Shows,1
2017-12-29,Sports,17
2017-12-29,Travel & Events,1
2017-12-30,Autos & Vehicles,3
2017-12-30,Comedy,19
2017-12-30,Education,3
2017-12-30,Entertainment,59
2017-12-30,Film & Animation,12
2017-12-30,Gaming,9
2017-12-30,Howto & Style,17
2017-12-30,Music,17
2017-12-30,News & Politics,12
2017-12-30,People & Blogs,27
2017-12-30,Pets & Animals,1
2017-12-30,Science & Technology,6
2017-12-30,Shows,1
2017-12-30,Sports,14
2017-12-31,Autos & Vehicles,3
2017-12-31,Comedy,18
2017-12-31,Education,6
2017-12-31,Entertainment,52
2017-12-31,Film & Animation,14
2017-12-31,Gaming,8
2017-12-31,Howto & Style,13
2017-12-31,Music,18
2017-12-31,News & Politics,13
