trending_month,category,cat_cnt,avg_comment_cnt,avg_likes_cnt,contry
18-01,Autos & Vehicles,91,1023.3076923076923,5007.593406593406,United States
18-01,Comedy,465,7407.032258064516,63603.53548387097,United States
18-01,Education,254,1554.3385826771653,14051.295275590552,United States
18-01,Entertainment,1288,9231.093167701863,27532.443322981366,United States
18-01,Film & Animation,354,5987.946327683616,37248.254237288136,United States
18-01,Gaming,112,14017.25,60419.33928571428,United States
18-01,Howto & Style,551,4865.424682395645,28019.13611615245,United States
18-01,Music,758,10261.15303430079,129036.24274406332,United States
18-01,News & Politics,500,1279.078,3878.4,United States
18-01,Nonprofits & Activism,16,253290.0,768028.3125,United States
18-01,People & Blogs,467,3464.8394004282654,32443.385438972164,United States
18-01,Pets & Animals,200,2347.055,17246.76,United States
18-01,Science & Technology,347,1537.6484149855908,16606.616714697408,United States
18-01,Shows,7,751.0,2063.714285714286,United States
18-01,Sports,330,2615.4848484848485,32435.154545454545,United States
18-01,Travel & Events,56,964.3571428571429,5550.285714285715,United States
18-02,Autos & Vehicles,129,1897.2945736434108,10430.449612403101,United States
18-02,Comedy,423,3202.101654846336,37221.744680851065,United States
18-02,Education,235,1731.1702127659576,14661.259574468086,United States
18-02,Entertainment,1243,3463.7771520514884,24160.593724859213,United States
18-02,Film & Animation,295,8768.108474576271,75608.92881355932,United States
18-02,Gaming,75,2159.826666666667,13415.626666666667,United States
18-02,Howto & Style,479,4567.091858037578,23554.764091858036,United States
18-02,Music,777,7434.558558558559,103811.37194337194,United States
18-02,News & Politics,521,1778.0057581573897,4286.621880998081,United States
18-02,Nonprofits & Activism,18,41627.11111111111,134908.88888888888,United States
18-02,People & Blogs,442,6565.567873303167,47731.46832579186,United States
18-02,Pets & Animals,156,1306.5641025641025,10966.923076923076,United States
18-02,Science & Technology,385,4234.140259740259,32564.01818181818,United States
18-02,Sports,321,4763.660436137072,34975.109034267916,United States
18-02,Travel & Events,72,2047.6527777777778,11666.625,United States
18-03,Autos & Vehicles,16,3262.9375,10041.3125,United States
18-03,Comedy,524,5854.87786259542,66907.69465648854,United States
18-03,Education,328,3043.1493902439024,26577.158536585364,United States
18-03,Entertainment,1537,7305.322706571243,53482.890696161354,United States
18-03,Film & Animation,337,7062.545994065282,59096.63501483679,United States
18-03,Gaming,122,15909.090163934427,75187.97540983607,United States
18-03,Howto & Style,810,4790.1024691358025,26879.266666666666,United States
18-03,Music,810,19616.404938271604,200351.2037037037,United States
18-03,News & Politics,195,4277.261538461538,8888.174358974358,United States
18-03,People & Blogs,508,3595.5885826771655,42012.64763779528,United States
18-03,Pets & Animals,136,1908.1470588235295,19398.022058823528,United States
18-03,Science & Technology,446,3019.3632286995517,28377.68385650224,United States
18-03,Sports,334,7139.290419161676,70656.0628742515,United States
18-03,Travel & Events,80,3484.4375,19424.45,United States
18-04,Autos & Vehicles,22,5852.272727272727,15834.727272727272,United States
18-04,Comedy,174,6447.281609195402,64069.5,United States
18-04,Education,87,2753.9885057471265,19232.298850574713,United States
18-04,Entertainment,472,6945.828389830508,62501.46186440678,United States
18-04,Film & Animation,83,7227.9277108433735,71005.56626506025,United States
18-04,Gaming,33,14652.969696969696,47942.90909090909,United States
18-04,Howto & Style,208,6745.625,50543.355769230766,United States
18-04,Music,280,14716.610714285714,176977.78214285715,United States
18-04,News & Politics,47,8551.95744680851,20625.0,United States
18-04,People & Blogs,158,4079.4303797468356,44362.05063291139,United States
18-04,Pets & Animals,24,3711.6666666666665,43764.916666666664,United States
18-04,Science & Technology,88,2019.0113636363637,19350.738636363636,United States
18-04,Shows,2,1893.0,25208.5,United States
18-04,Sports,110,9360.581818181818,106348.75454545455,United States
18-04,Travel & Events,12,6123.166666666667,19685.166666666668,United States
17-11,Autos & Vehicles,72,832.0833333333334,6656.736111111111,Germany
17-11,Comedy,215,3563.9348837209304,28225.883720930233,Germany
17-11,Education,93,721.0430107526881,6243.365591397849,Germany
17-11,Entertainment,1134,1428.3650793650793,12497.216931216932,Germany
17-11,Film & Animation,248,2121.6491935483873,18271.814516129034,Germany
17-11,Gaming,180,1462.6944444444443,8009.788888888889,Germany
17-11,Howto & Style,117,840.5384615384615,9317.111111111111,Germany
17-11,Music,129,19476.162790697676,161591.0,Germany
17-11,News & Politics,281,507.0747330960854,1721.5053380782917,Germany
17-11,Nonprofits & Activism,11,6847.363636363636,38144.36363636364,Germany
17-11,People & Blogs,558,1193.1720430107528,6098.317204301075,Germany
17-11,Pets & Animals,22,6877.727272727273,35901.36363636364,Germany
17-11,Science & Technology,65,5368.507692307692,29456.30769230769,Germany
17-11,Shows,16,1023.5625,6321.0625,Germany
17-11,Sports,251,1186.9482071713148,11476.12749003984,Germany
17-11,Travel & Events,7,1049.0,8473.57142857143,Germany
17-12,Autos & Vehicles,96,1288.5,11060.385416666666,Germany
17-12,Comedy,404,4121.851485148515,40272.75247524752,Germany
17-12,Education,116,1138.7672413793102,10240.508620689656,Germany
17-12,Entertainment,2416,4191.474751655629,25197.07284768212,Germany
17-12,Film & Animation,408,1530.6593137254902,11123.78431372549,Germany
17-12,Gaming,280,2689.0714285714284,19892.335714285713,Germany
17-12,Howto & Style,259,1723.3861003861005,11391.803088803088,Germany
17-12,Music,345,6740.718840579711,85181.97971014492,Germany
17-12,News & Politics,351,762.031339031339,2021.7863247863247,Germany
17-12,Nonprofits & Activism,36,10172.027777777777,41161.833333333336,Germany
17-12,People & Blogs,967,1309.6039296794208,9613.625646328852,Germany
17-12,Pets & Animals,43,2692.5813953488373,16398.06976744186,Germany
17-12,Science & Technology,97,1949.360824742268,15670.20618556701,Germany
17-12,Shows,24,536.125,3231.4583333333335,Germany
17-12,Sports,334,1418.491017964072,13443.443113772455,Germany
17-12,Travel & Events,23,569.8695652173913,6471.652173913043,Germany
18-01,Autos & Vehicles,103,694.9708737864078,6615.349514563107,Germany
18-01,Comedy,347,4066.048991354467,31564.432276657062,Germany
18-01,Education,120,719.7083333333334,5079.541666666667,Germany
18-01,Entertainment,2133,1991.2667604313174,13963.24894514768,Germany
18-01,Film & Animation,333,2652.3093093093094,17797.3003003003,Germany
18-01,Gaming,276,3808.7210144927535,24431.536231884056,Germany
18-01,Howto & Style,255,466.1607843137255,4684.043137254902,Germany
18-01,Music,310,9656.46129032258,113587.29677419354,Germany
18-01,News & Politics,504,900.5059523809524,3212.7956349206347,Germany
18-01,Nonprofits & Activism,48,49537.479166666664,155929.16666666666,Germany
18-01,People & Blogs,842,1119.1543942992873,7654.609263657957,Germany
18-01,Pets & Animals,31,2294.6129032258063,9971.161290322581,Germany
18-01,Science & Technology,74,1642.1081081081081,8259.986486486487,Germany
18-01,Shows,16,419.125,2119.875,Germany
18-01,Sports,377,1461.8832891246684,13566.994694960213,Germany
18-01,Travel & Events,24,1037.75,10263.291666666666,Germany
18-02,Autos & Vehicles,137,676.4379562043796,6519.598540145986,Germany
18-02,Comedy,308,2632.3733766233768,23095.77922077922,Germany
18-02,Education,126,708.8571428571429,5340.18253968254,Germany
18-02,Entertainment,2041,2005.0592846643801,15855.299363057326,Germany
18-02,Film & Animation,320,2741.134375,24244.93125,Germany
18-02,Gaming,185,1898.0054054054053,12359.027027027027,Germany
